ntrees,lr,folds,block,image
75,0.05,F2,0.32156820738042957,0.007803017166637782
75,0.05,F3,0.3224979491386383,0.02553637217366178
75,0.05,F4,0.28179581057559566,0.019474140421843367
75,0.05,F5,0.32433009501441235,0.017108592804488953
75,0.05,F6,0.2257352563773546,0.3733393817639816
75,0.05,F7,0.27513590542038313,0.0845535520312839
75,0.05,F8,0.25901705317168877,0.1873716012084592
75,0.05,A,0.30684943015633503,0.10541253873257539
75,0.05,T,0.2660053062636982,0.1421681989959953
75,0.075,F1,0.44349692539737784,0.12957890042683318
75,0.075,F2,0.3209254994376306,0.00858331888330155
75,0.075,F3,0.3210110746513536,0.026475474969298585
75,0.075,F4,0.28131564732008885,0.019474140421843367
75,0.075,F5,0.32283548628162695,0.015403234679282618
75,0.075,F6,0.21906277267361285,0.3631650573520835
75,0.075,F7,0.27418588694780177,0.09037584184227676
75,0.075,F8,0.25896674883042403,0.1844108761329305
75,0.075,A,0.3052250051924896,0.10468335558848126
75,0.075,T,0.2669281347329565,0.1403914490382988
75,0.1,F1,0.4451212437637777,0.1303115244951265
75,0.1,F2,0.32065770446146435,0.010750823651812014
75,0.1,F3,0.31906275635767023,0.02723398107346675
75,0.1,F4,0.29836144289058275,0.020687662525281758
75,0.1,F5,0.32288886516494075,0.018703927824843203
75,0.1,F6,0.21844685110095985,0.38176398159548963
75,0.1,F7,0.27698316356151365,0.0946773843145774
75,0.1,F8,0.25881583580663015,0.1907552870090634
75,0.1,A,0.3075422328884424,0.10936057156120758
75,0.1,T,0.2673607105779213,0.14253482993964695
75,0.25,F1,0.4418726070309781,0.13505765432885264
75,0.25,F2,0.32338921321836,0.013872030518467193
75,0.25,F3,0.32188269073010667,0.0313154663006574
75,0.25,F4,0.30436348358441867,0.050852354810748346
75,0.25,F5,0.3173908401836234,0.02002420508306746
75,0.25,F6,0.21885746548272855,0.3759963709416111
75,0.25,F7,0.28014989180345173,0.10106452313708447
75,0.25,F8,0.25780974898133713,0.2814501510574018
75,0.25,A,0.3082144926268755,0.1262040945222363
75,0.25,T,0.265716922367055,0.15218004399571328
75,0.5,F1,0.4388560157790927,0.13875262789067977
75,0.5,F2,0.32065770446146435,0.012484827466620385
75,0.5,F3,0.31819114027891715,0.032976955862168644
75,0.5,F4,0.3079647080007203,0.05570644322450158
75,0.5,F5,0.30954414433650046,0.02046429750247547
75,0.5,F6,0.22080788379612992,0.37301535869353897
75,0.5,F7,0.2857972238349079,0.10732131218770369
75,0.5,F8,0.2618844006237738,0.2732326283987916
75,0.5,A,0.30796290263893833,0.12674430640331003
75,0.5,T,0.2668416195639636,0.14981104405211798
75,0.75,F1,0.43357698108829335,0.14582404281072814
75,0.75,F2,0.32263938728509456,0.011964626322177874
75,0.75,F3,0.31629409351927806,0.034927400130029596
